Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
24 Deadly Sins of Software Security: Programming Flaws and How to Fix Them,,programming flaws and how to fix them,,,"John Viega,David LeBlanc,Michael Howard","Viega, John",,,,,,McGraw-Hill Education,New York,2009/09/24,2009,,,,Computers,"Publisher's Note: Products purchased from Third Party sellers are not guaranteed by the publisher for quality, authenticity, or access to any online entitlements included with the product.Eradicate the Most Notorious Insecure Designs and Coding VulnerabilitiesFully updated to cover the latest security issues, 24 Deadly Sins of Software Security reveals the most common design and coding errors and explains how to fix each one-or better yet, avoid them from the start. Michael Howard and David LeBlanc, who teach Microsoft employees and the world how to secure code, have partnered again with John Viega, who uncovered the original 19 deadly programming sins. They have completely revised the book to address the most recent vulnerabilities and have added five brand-new sins. This practical guide covers all platforms, languages, and types of applications. Eliminate these security flaws from your code: SQL injection Web server- and client-related vulnerabilitiesUse of magic URLs, predictable cookies, and hidden form fieldsBuffer overrunsFormat string problemsInteger overflowsC++ catastrophesInsecure exception handlingCommand injectionFailure to handle errorsInformation leakageRace conditionsPoor usabilityNot updating easilyExecuting code with too much privilegeFailure to protect stored dataInsecure mobile codeUse of weak password-based systemsWeak random numbersUsing cryptography incorrectlyFailing to protect network trafficImproper use of PKITrusting network name resolution",,,,,,,,,,,432,,,7.40 x 0.91 x 9.45 in,,39.99 $,English,,005.8,,,,9780071626750,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/04/09 15:41:13.653936028,,,,,,,,qh5hjgEACAAJ,,0,0,0,,,
A Court of Thorns and Roses,,,,,Sarah J. Maas,"Maas, Sarah J.",,,,,,Bloomsbury USA,,2020/06/02,2020,,,,Fiction,"The sexy, action-packed first book in the #1 bestselling Court of Thorns and Roses series from global phenomenon Sarah J. Maas.When nineteen-year-old huntress Feyre kills a wolf in the woods, a terrifying creature arrives to demand retribution. Dragged to a treacherous magical land she knows about only from legends, Feyre discovers that her captor is not truly a beast, but one of the lethal, immortal faeries who once ruled her world. At least, he's not a beast all the time. As she adapts to her new home, her feelings for the faerie, Tamlin, transform from icy hostility into a fiery passion that burns through every lie she's been told about the beautiful, dangerous world of the Fae. But something is not right in the faerie lands. An ancient, wicked shadow is growing, and Feyre must find a way to stop it, or doom Tamlin-and his world-forever.From bestselling author Sarah J. Maas comes a seductive, breathtaking book that blends romance, adventure, and faerie lore into an unforgettable read.",,,,,,,,,,,448,,,5.51 x 1.26 x 8.27 in,,,English,,,,,,9781635575569,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/14 10:47:18.949226975,,,,,,,,MfhaEAAAQBAJ,,0,0,0,,,
A Fire Endless,,A Novel,,,Rebecca J. Ross,"Ross, Rebecca J.",,,,,,HarperCollinsPublishers,"New York, NY",,2022,,,,Fiction,"""At once a fast-paced mystery and a love story as warm as a hearth . . . This is a classic in the making."" -- Ava Reid, internationally bestselling author of The Wolf and the Woodsman, on A River Enchanted The #1 New York Times bestselling author of Divine Rivals returns to the magical isle of Cadence to find the balance between the human and faery realms imperiled in this stunning conclusion to the Elements of Cadence duology that began with A River Enchanted East and west. Humans and spirits. Breccans and Tamerlaines. The Isle of Cadence has always held itself in a tenuous balance. But now Bane, the spirit of the North Wind, has pushed everything off-kilter in a bid to claim dominion over human and spirit alike. In the east, a sickness is spreading among the people of the Tamerlaine clan. As healer Sidra desperately searches for a cure, her husband, Torin, the clan's new leader, attempts to draw answers from the spirits. But the further he strays into the realm of the elementals, the more lost he and the clan become. In the west, Jack decides to take up his harp and cross the clan line, not only to reunite with Adaira, but to unravel a sinister mystery that would grant him the knowledge to defeat Bane and restore peace to the isle. Yet no one can challenge the North Wind without paying a price, and the sacrifice required this time may just be the ultimate one. Rebecca Ross weaves an enchanting tapestry of mystery and magic, love and sacrifice, in this thrilling conclusion to the Elements of Cadence duology.",,,,,,,,,,,512,,,5.98 x 1.54 x 9.45 in,,,English,,813./6,,,,9780063056039,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/06/09 17:30:51.317988991,,,,,,,,oxj3zgEACAAJ,,0,0,0,,,
A Ghost in the Throat,,,,,Doireann Ní Ghríofa,"Ghríofa, Doireann Ní",,,,,,Biblioasis,,,2020,,,,Biography & Autobiography,"An Post Irish Book Awards Nonfiction Book of the Year - A Guardian Best Book of 2020 - Shortlisted for the 2021 Rathbones Folio Prize - Longlisted for the 2021 Republic of Consciousness Prize - Winner of the James Tait Black Biography Prize - A New York Times New & Noteworthy Title - Longlisted for the 2021 Gordon Burn Prize - A Buzzfeed Recommended Summer Read - A Publishers Weekly Best Book of 2021 - A Book Riot Best Book of 2022 - An NPR Best Book of 2021 - A Chicago Public Library Best Book of 2021 - A Globe and Mail Book of the Year - A Winnipeg Free Press Top Read of 2021 - An Entropy Magazine Best of the Year - A LitHub Best Book of 2021 - A New York Times Critics' Top Book of 2021 - A National Book Critics Circle Award FinalistWhen we first met, I was a child, and she had been dead for centuries.On discovering her murdered husband's body, an eighteenth-century Irish noblewoman drinks handfuls of his blood and composes an extraordinary lament. Eibhlín Dubh Ní Chonaill's poem travels through the centuries, finding its way to a new mother who has narrowly avoided her own fatal tragedy. When she realizes that the literature dedicated to the poem reduces Eibhlín Dubh's life to flimsy sketches, she wants more: the details of the poet's girlhood and old age; her unique rages, joys, sorrows, and desires; the shape of her days and site of her final place of rest. What follows is an adventure in which Doireann Ní Ghríofa sets out to discover Eibhlín Dubh's erased life--and in doing so, discovers her own.Moving fluidly between past and present, quest and elegy, poetry and those who make it, A Ghost in the Throat is a shapeshifting book: a record of literary obsession; a narrative about the erasure of a people, of a language, of women; a meditation on motherhood and on translation; and an unforgettable story about finding your voice by freeing another's.",,,,,,,,,,,326,,,5.00 x 1.30 x 7.87 in,,,English,,,,,,9781771964111,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/04/09 15:57:40.102715015,,,,,,,,6oyczQEACAAJ,,0,0,0,,,
A River Enchanted,,A Novel,,,Rebecca Ross,"Ross, Rebecca",,,,,,HarperCollins Publishers,,2022/11/01,2022,,,,Drama,"""Exquisitely written with compelling characters and romance . . . I was swept away by the enchanting and magical world Rebecca Ross crafted, and loved every moment of it."" -- Sue Lynn Tan, bestselling author of Daughter of the Moon Goddess Enter the isle of Cadence in this novel from the #1 New York Times bestselling author of Divine Rivals--a Scottish-inspired fantasy brimming with enemies-to-lovers romance, magic and spirits, and a captivating mystery It starts with a letter and an ominous journey across dark waters. Ten years after being sent away to the mainland to become a bard, Jack Tamerlaine is summoned home to Cadence. Girls are going missing from the island, and Adaira, his childhood nemesis and the future leader of the clan, believes Jack is the only one who can find them. The elemental spirits that dwell in every breath of air, splash of water, blade of grass, and flicker of fire find mirth in the lives of the humans, and a bard's music is the only way to summon them and ask that the girls be returned. Yet as Jack and Adaira get closer to solving the mystery, it becomes apparent that an older, darker secret about Cadence lurks beneath the surface, and no harp song may be strong enough to stop it. With unforgettable characters, a thrilling plot, and a lush folklore-infused world, A River Enchanted is a stirring story of duty, love, and creating harmony between opposing forces. This first book in the Elements of Cadence duology marks Rebecca Ross's brilliant entry on the adult fantasy stage.",,,,,,,,,,,496,,,5.31 x 1.10 x 7.99 in,,,English,,,,,,9780063055995,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/06/09 17:30:51.315513968,,,,,,,,1fDczgEACAAJ,,0,0,0,,,
Aesop's Fables,,,,,Aesop,Aesop,,,,,,Canterbury Classics,San Diego,2013/10/15,2013,,,,Fiction,"A collection of charming and enduring stories that convey morals to young and old alike.Aesop was a slave and storyteller who lived in ancient Greece around 620–564 BCE. No writings by him exist (if they ever existed at all), yet numerous stories and tales have been credited to him and have been shared through oral tradition throughout the world.  Many of these use animals as the main characters to convey deeper meanings and morals that have become ingrained in our cultural—and personal—belief systems. For example, in “The Goatherd and the Goat” we learn that there is no use trying to hide what can’t be hidden. In “The Ass and the Purchaser” we find that people are known by the company they keep. In “The Boys and the Frogs,” one person’s pleasure may be another person’s pain. “The Dogs and the Fox” show how easy it is to kick a man when he’s down. And misery loves company, as we see in “The Fox Without a Tail.” Aesop’s Fables has been one of the world’s most charming collections of stories that have influenced thousands of other literary works. About the Word Cloud Classics series:Classic works of literature with a clean, modern aesthetic! Perfect for both old and new literature fans, the Word Cloud Classics series from Canterbury Classics provides a chic and inexpensive introduction to timeless tales. With a higher production value, including heat burnished covers and foil stamping, these eye-catching, easy-to-hold editions are the perfect gift for students and fans of literature everywhere.",,,,,,,,,,,256,,,5.24 x 0.79 x 7.76 in,,,English,,398.2,,,,9781607109471,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/14 10:47:18.946635961,,,,,,,,uuWnmAEACAAJ,,0,0,0,,,
Alloy of Law,,A Mistborn Novel,,,Brandon Sanderson,"Sanderson, Brandon",,,,,,"Doherty Associates, LLC, Tom",,,2022,,,,Imaginary places,,,,,,,,,,,,,,,,,,,,,,,,9781250860002,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/14 09:32:46.774899005,,,,,,,,,,0,0,0,,http://images.amazon.com/images/P/1250860008.01Z.jpg,
Arcanum Unbounded: The Cosmere Collection,,The Cosmere Collection,,,Brandon Sanderson,"Sanderson, Brandon",,,,,,Tor Publishing Group,,2018/02/27,2018,,,,Fiction,"From #1 New York Times bestselling author Brandon Sanderson―creator of The Stormlight Archive, the Mistborn Saga, and countless bestselling works of science fiction and fantasy―this iconic short fiction collection features stories set across the Cosmere universe.The Stormlight Archive novella ""Edgedancer"" is the crown jewel of Arcanum Unbounded: The Cosmere Collection, which includes novellas and short stories from the worlds of the Stormlight Archive, the Mistborn Saga, Elantris, and more.This collection includes:“The Hope of Elantris” (Elantris)“The Eleventh Metal” (Mistborn)“The Emperor's Soul” (Elantris)“Allomancer Jak and the Pits of Eltania, Episodes 28 through 30” (Mistborn)“White Sand"" (excerpt; Taldain)""Shadows for Silence in the Forests of Hell” (Threnody)“Sixth of Dusk” (First of the Sun)“Mistborn: Secret History” (Mistborn)""Edgedancer"" (The Stormlight Archive)These nine wonderful works, published elsewhere individually, convey the expanse of the Cosmere and tell exciting tales of adventure Sanderson fans have come to expect, including the Hugo Award-winning novella “The Emperor's Soul” and an excerpt from the graphic novel ""White Sand.""Finally, this collection includes essays and illustrations for the various planetary systems in which the stories are set.Other Tor books by Brandon SandersonThe CosmereThe Stormlight Archive● The Way of Kings● Words of Radiance● Edgedancer (novella)● Oathbringer● Dawnshard (novella)● Rhythm of War● Wind and TruthThe Mistborn SagaThe Original Trilogy● Mistborn● The Well of Ascension● The Hero of AgesWax and Wayne● The Alloy of Law● Shadows of Self● The Bands of Mourning● The Lost MetalOther Cosmere novels● Elantris● Warbreaker● Tress of the Emerald Sea● Yumi and the Nightmare Painter● The Sunlit ManThe Alcatraz vs. the Evil Librarians series● Alcatraz vs. the Evil Librarians● The Scrivener's Bones● The Knights of Crystallia● The Shattered Lens● The Dark Talent● Bastille vs. the Evil Librarians (with Janci Patterson)Other novels● The Rithmatist● Legion: The Many Lives of Stephen Leeds● The Frugal Wizard’s Handbook for Surviving Medieval EnglandOther books by Brandon SandersonThe Reckoners● Steelheart● Firefight● CalamitySkyward● Skyward● Starsight● Cytonic● Skyward Flight (with Janci Patterson)● Defiant",,,,,,,,,,,768,,,4.13 x 1.54 x 6.69 in,,,English,,,,,,9780765391186,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/03/19 15:15:15.985157966,,,,,,,,nhsRMQAACAAJ,,0,0,0,,,
"Ask Again, Yes",,A Novel,,,Mary Beth Keane,"Keane, Mary Beth",,,,,,Simon and Schuster,New York,2019/05/28,2019,,,,Fiction,"The triumphant New York Times Bestseller *The Tonight Show Summer Reads Pick*  Named one of the Best Books of the Year by People, Vogue, Parade, NPR, and Elle  ""A gem of a book."" —Taylor Jenkins Reid, author of The Seven Husbands of Evelyn Hugo  How much can a family forgive?Francis Gleeson and Brian Stanhope, rookie NYPD cops, are neighbors in the suburbs. What happens behind closed doors in both houses—the loneliness of Francis’s wife, Lena, and the instability of Brian’s wife, Anne, sets the stage for the explosive events to come. In Mary Beth Keane's extraordinary novel, a lifelong friendship and love blossoms between Kate Gleeson and Peter Stanhope, born six months apart. One shocking night their loyalties are divided, and their bond will be tested again and again over the next thirty years. Heartbreaking and redemptive, Ask Again, Yes is a gorgeous and generous portrait of the daily intimacies of marriage and the power of forgiveness.",,,,,,,,,,,400,,,5.98 x 1.10 x 9.45 in,,13.99 $,English,,813/.6,,,,9781982106980,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/04/09 15:43:54.043918013,,,,,,,,UfeVDwAAQBAJ,,0,0,0,,,
Atomic Habits,,An Easy & Proven Way to Build Good Habits & Break Bad Ones,,,James Clear,"Clear, James",,,,,,Penguin,New York,2018/10/16,2018,,,,Business & Economics,"The #1 New York Times bestseller. Over 20 million copies sold!Translated into 60+ languages!Tiny Changes, Remarkable ResultsNo matter your goals, Atomic Habits offers a proven framework for improving--every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.If you're having trouble changing your habits, the problem isn't you. The problem is your system. Bad habits repeat themselves again and again not because you don't want to change, but because you have the wrong system for change. You do not rise to the level of your goals. You fall to the level of your systems. Here, you'll get a proven system that can take you to new heights.Clear is known for his ability to distill complex topics into simple behaviors that can be easily applied to daily life and work. Here, he draws on the most proven ideas from biology, psychology, and neuroscience to create an easy-to-understand guide for making good habits inevitable and bad habits impossible. Along the way, readers will be inspired and entertained with true stories from Olympic gold medalists, award-winning artists, business leaders, life-saving physicians, and star comedians who have used the science of small habits to master their craft and vault to the top of their field.Learn how to:make time for new habits (even when life gets crazy);overcome a lack of motivation and willpower;design your environment to make success easier;get back on track when you fall off course;...and much more.Atomic Habits will reshape the way you think about progress and success, and give you the tools and strategies you need to transform your habits--whether you are a team looking to win a championship, an organization hoping to redefine an industry, or simply an individual who wishes to quit smoking, lose weight, reduce stress, or achieve any other goal.",,,,,,,,,,,320,,,6.30 x 1.10 x 9.45 in,,,English,,155.24,,,,9780735211292,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2025/04/09 21:10:47.815979957,,,,,,,,XfFvDwAAQBAJ,,0,0,0,,,
